Household_Key,Retail,Coupon_Match,Coupon,Total_Sales
166,-113.42,0,0,799.16
167,-18.78,0,0,210.05
168,-34.78,0,0,290.08
169,-19.95,0,0,188.66
170,-160.82,-1.75,-3.45,752.74
171,-39.36,0,0,171.13
172,-69.77,-0.5,-1.5,506.31
173,-5.98,0,0,5.98
174,-142.68,0,-0.99,707.98
175,-29.52,0,0,224.38
176,-63.04,0,0,247.14
177,-8.73,0,0,78.73
178,-5.52,0,0,35.27
179,-94.15,0,0,362.81
180,-218.56,0,0,1296.2
181,-208.03,0,-2.5,1017.86
182,-93.72,0,0,360.67
183,-117.65,0,0,868.99
184,-341.02,-0.95,-8.74,2171.35
185,-164.76,0,-2.5,597.11
186,-1.78,0,0,15.74
187,-98.92,0,0,382.08
188,-336.7,0,0,1334.63
189,-31.14,0,0,284.65
190,-76.42,0,0,313.82
191,-35.66,0,0,106.18
192,-263.6,-1.75,-7.95,1772.66
193,-243.25,0,-1,2071.42
194,-161.44,0,0,932.21
195,-652.3,0,0,2327.37
196,-548.87,-2.3,-9.75,2305.47
197,-38.27,0,0,354.31
198,-914.75,-0.5,-15.49,4187.7
199,-40.54,0,-1,228.35
200,-40.28,0,0,283.55
201,-6.14,0,0,15.12
202,-65.04,0,0,588.55
203,-40.07,-0.25,-0.75,268.77
204,-136.6,-0.45,-0.55,589.26
205,-46.71,0,0,306.66
206,-74.34,0,-0.6,363.77
207,-61.26,0,0,539.56
208,-406.71,-12.94,-33.14,1703.83
209,-419.26,-2.75,-30.84,1926.81
210,-330.77,-0.35,-3.65,1291.74
211,-213.93,0,0,1195.04
212,-225.84,-0.5,-5.49,1425.58
213,-45.97,0,-1,312.35
214,-184.07,-0.25,-0.75,860.21
215,-113.35,0,-3,621.06
216,-89.33,-0.4,-0.4,823.02
217,-241.73,0,-3.5,968.74
218,-368.53,0,0,3776.76
219,-516.12,0,-0.2,4246.62
220,-225.83,-0.3,-1.3,1256.1
221,-221.62,0,0,1051.43
222,-407.68,0,-3,3755.48
223,-265.13,0,0,1555.21
224,-78.96,0,0,394.28
225,-67.54,0,0,418.46
226,-201.9,0,0,985.4
227,-237.28,-0.35,-3.1,546.79
228,-207.01,0,-2.5,716.73
229,-154.33,0,-2,427.21
230,-426.57,-0.25,-0.75,1840.17
231,-104.75,0,0,318.18
232,-1262.11,-1.75,-52.13,7800.64
233,-4.14,0,0,6
234,-37.19,0,0,200.38
235,-627.21,-2.35,-6.15,6544.98
236,-281.93,-3,-13,1068.8
237,-53.33,0,0,396.61
238,-59.24,0,0,428.03
239,-391.26,-7.3,-26.38,1742.89
240,-64.91,0,0,152.77
241,-20,0,0,124.56
242,-303.7,-1.7,-4.3,2429.79
243,-315.43,-2.3,-8.5,2879.1
244,-111.96,0,-1,746.99
245,-135.62,0,0,502.71
246,-86.42,0,0,467.17
247,-38.83,0,0,173.92
248,-1105.78,-14.6,-93.93,2569.72
249,-108.82,0,-18,1012.71
250,-175.95,-5.55,-12.75,1264.22
251,-279.03,-0.5,-0.5,1149.17
252,-6.35,0,0,58.29
253,-1745.86,-30.4,-62.64,5753.02
254,-20.59,0,0,136.84
255,-61.1,0,0,310.24
256,-546.01,-11.3,-59.49,4550.46
257,-232.65,0,0,1058.18
258,-368.12,-12.7,-54.78,1201.71
259,-20.69,0,0,278.44
260,-20.11,0,0,138.02
261,-77.23,0,-1,736.61
262,-500.1,-0.3,-6.8,2852.65
263,-366.24,-1.35,-7.78,2056.61
264,-180.4,0,0,829.72
265,-115.79,-0.45,-0.55,663.99
266,-241.59,0,-1.99,1429.36
267,-4.05,0,0,63.59
268,-62.72,0,-1,273.77
269,-79.05,0,0,442.96
270,-44.93,0,-7.5,101.59
271,-89.74,0,-2,571
272,-72.79,0,-2.77,372.14
273,-79.53,0,0,651.07
274,-2.85,0,0,20.31
275,-369.74,-0.3,-0.9,2093.13
276,-356.28,0,-1,1627.23
277,-55.35,-0.3,-2.8,238.77
278,-172.32,0,-1,1077.79
279,-122.44,-5.55,-7.65,594.83
280,-268.77,0,0,926.14
281,-199.88,-0.45,-4.55,741.94
282,-189.8,-6.05,-10.65,1381.44
283,-135.63,0,0,1110.84
284,-52.3,0,0,453.35
285,-386.66,-0.7,-3.3,1944
286,-43.12,0,0,387.52
287,-197.94,-0.25,-0.75,1104.35
288,-147.3,0,0,1383.84
289,-282.38,0,-1,2154.4
290,-260.94,0,-1,1225.24
291,-77.28,0,0,422.95
292,-106.96,0,-2.5,639.05
293,-325.68,0,-1,1663.61
294,-772.44,-1.45,-36.55,2686.05
295,-3.71,0,0,10.35
296,-0.05,0,0,62.01
297,-175.68,0,-3.5,992.09
298,-52.25,0,0,224.86
299,-4.32,0,0,158.11
300,-607.67,-1.45,-1.55,3411.32
301,-323.31,-0.8,-3.8,2037.65
302,-116.15,0,0,917.96
303,-285.12,0,0,1037.66
304,-803.3,0,-1.5,3470.78
305,-351.31,-1.25,-14.25,1664.02
306,-621.65,-19.4,-57.18,1650.27
307,-196.62,0,0,963.67
308,-52.2,0,0,527.82
309,-301.09,-0.5,-3,1391.72
310,-20.49,0,0,80.86
311,-57.56,0,0,458.75
312,-159.07,-3.84,-24.52,1004.08
313,-17.33,0,0,92.54
314,-161.64,0,0,931.58
315,-15.34,-0.45,-0.55,90.02
316,-44.14,0,0,226.59
317,-414.92,-7.85,-24.27,2548.74
318,-66.02,0,0,534.21
319,-377.32,-0.45,-0.55,1753.91
320,-14.15,0,0,113.79
321,-562.23,-12.55,-35.14,2588.78
322,-192.29,0,-2,1334.28
323,-12.88,0,0,46.57
324,-368.28,-0.5,-2.5,3854.73
325,-443.2,-2.8,-14.19,1057.07
326,-63.13,0,-4,237.44
327,-35.96,0,0,197.78
328,-878.45,0,-7,7415.42
329,-73.5,0,0,958.29
330,-13.98,0,0,99.71
331,-52.07,-0.45,-0.55,492.12
332,-427.53,0,-2.5,1778.35
333,-212.03,0,0,728.61
334,-752.38,-4.35,-34.3,2366.83
335,-135.56,0,0,1238.5
336,-86.18,0,-1.5,729.49
337,-116.8,-0.45,-3.05,491.62
338,-77.4,0,0,543.85
339,-266.6,-0.4,-1.4,754.34
340,-146.97,0,0,728.95
341,-37.22,0,-2,236.28
342,-189.61,0,-2.85,934.47
343,-105.75,0,0,568.18
344,-243.62,-7.45,-23.75,1703.6
345,-467.15,0,0,1375.57
346,-149.99,0,-1,1065.6
347,-44.02,0,0,464.65
348,-32.3,0,0,192.89
349,-14.5,0,0,136.24
350,-112.98,0,0,1368.17
351,-660.64,0,-2.5,2848.78
352,-9.27,0,0,117.43
353,-140.63,0,-1,1142.28
354,-571.28,0,0,4057.64
355,-45.57,0,0,228.84
356,-94.88,0,-2,970.82
357,-90.28,0,0,288.75
358,-460.33,-0.6,-4.32,4570.36
359,-29.68,0,0,172.85
360,-34.99,0,0,209.97
361,-919.08,-1.5,-11.75,3875.51
362,-190.51,0,-6.25,1396.38
363,-9.69,0,0,11
364,-340.27,0,0,1793.8
365,-607.4,0,-3.5,3816.26
366,-133.13,0,0,388.84
367,-924.18,-33.85,-86.11,2813.77
368,-193.23,0,-1,1058.71
369,-48.2,0,0,390.39
370,-223.19,-1.2,-5.68,1500.86
371,-1024.1,-1.4,-7.9,5306.1
372,-74.94,0,-1,298.01
373,-5.4,0,0,49.86
374,-336.36,-0.25,-7.92,3325.24
375,-18.42,-0.25,-0.25,70.36
376,-274.56,0,0,2290.23
377,-290.17,0,0,1517.77
378,-371.32,-4.15,-12.14,2538.11
379,0,0,0,4.49
380,-591.93,-0.25,-0.75,3043.97
381,-271.42,-0.75,-11.25,1535.91
382,-48.19,0,-2.5,377.39
383,-380.2,-4.3,-14.95,2616.2
384,-170.54,0,0,1303.5
385,-219.15,0,0,1096.62
386,-454.78,-6.05,-13.85,1769.28
387,-366.79,-3.85,-16.95,2191.55
388,-218.06,0,0,501.98
389,-1261.03,-9.4,-29.4,5850.23
390,-96.17,0,0,887.99
391,-7.58,0,0,79.05
392,-296.62,-0.35,-0.35,4116.95
393,-299.39,-0.02,-6.48,1289.63
394,-75.39,0,0,512.76
395,-79.78,0,0,405.21
396,-85.29,-0.6,-16.44,502.5
397,-430.83,-0.75,-2.25,2742.94
398,-241.73,-0.25,-0.75,760.82
399,-119.63,0,0,666.68
400,-651.33,-0.4,-17.86,6390.28
401,-90.52,0,0,461.47
402,-83,0,0,742.03
403,-131.87,-0.85,-5.04,407.28
404,-332.78,-0.45,-0.55,2930.12
405,-427.1,0,0,1703.36
406,-53.27,0,0,379.24
407,-126.01,0,-19.99,247.1
408,-172.08,0,-4,1071.21
409,-527.46,-11.7,-31.19,1548.87
410,-127.91,0,-0.59,347.34
411,-317.41,0,-1.59,2307.3
412,-268.87,-0.9,-1.1,820.53
413,-220.96,-0.45,-0.55,2222.54
414,-188.35,0,0,913.02
415,-18.63,0,-4,237.67
416,-294.76,0,-1,1749.18
417,-243.53,-0.5,-0.5,1198.93
418,-168.84,-0.25,-2.75,1711.86
419,-284.51,0,-5,1008.02
420,-292.78,0,0,1785.31
421,-782.62,-13.3,-57.55,3050.63
422,-34.34,-0.25,-4.75,162.15
423,-0.99,0,0,3
424,-43.41,0,-2.3,449.67
425,-791.51,-0.95,-1.05,2845.29
426,-495.4,-5.35,-11.65,2813.22
427,-54.03,0,0,378.85
428,-393.46,-0.75,-1.25,1784.91
429,-125.93,0,-2.5,264.38
430,-125.09,-0.25,-7.44,369.95
431,-47.06,0,-1,204.19
432,-132.33,0,-5.5,1315.37
433,-77.19,0,0,639.45
434,-284.22,0,0,1654.76
435,-31.51,0,0,281.94
436,-142.29,0,0,1053.9
437,-553.68,-2.75,-41.5,3375.83
438,-16.49,0,0,118.02
439,-37.52,0,0,475.76
440,-8.85,0,0,55.11
441,-155.98,0,0,1030.08
442,-169.64,0,0,608.96
443,-159.07,-4.9,-5.5,587.29
444,-99.4,-0.3,-0.3,807.42
445,-251.16,0,-2.5,1277.96
446,-1.78,0,0,64.93
447,-248.21,0,0,1037.59
448,-17.69,0,-2.99,110.91
449,-26.57,0,0,207.74
450,-166.42,0,0,638.24
451,-100.74,0,0,694.29
452,-53.35,-1.5,-1.5,151.08
453,-69.79,0,0,490.31
454,-1096.94,-1.6,-8.4,3286.23
455,-33.73,0,0,430.63
456,-402.23,-2.3,-13.9,3041.67
457,-51.23,0,0,314.12
458,-203.93,-0.25,-27.79,511.75
459,-33.08,0,-5.35,421.64
460,-45.72,-0.35,-2.35,359.48
461,-97.64,0,-1,286.78
462,-101.43,0,-1,622.73
463,-420.38,0,-8.84,2411.55
464,-487.82,-28.93,-68.1,1212.55
465,-30.97,0,0,203.46
466,-3.94,0,0,11.82
467,-231.57,0,-2.99,1024.27
468,-244.11,-0.75,-23.75,2015
469,-567.07,-15.84,-39.13,3605.45
470,-49.85,0,0,915.44
471,-157.88,-1.95,-4.05,539.37
472,-751.92,-2.3,-19.08,4895.35
473,-276.68,0,0,1301.36
474,-65.58,0,0,161.23
475,-135.91,-0.7,-2.3,708.66
476,-123.45,-0.25,-0.75,737.37
477,-83.12,0,0,411.53
478,-23.34,0,0,190.36
479,-162.82,-0.5,-5,978.92
480,-524.72,-2.15,-10.44,2222.15
481,-261.6,-0.25,-3.25,1254.44
482,-212.26,0,0,905.79
483,-281.61,0,-5,813.28
484,-136.42,0,0,852.87
485,-611.99,-0.75,-26.42,2359.03
486,-34.26,0,0,228.31
487,-3.25,0,0,17.08
488,-22.56,0,0,207
489,-262.13,-0.5,-0.5,1739.33
490,-668.51,-30.55,-73.25,1743
491,-193.99,0,-2,1944.02
492,-595.96,-2.8,-27.04,2765.53
493,-249.95,-10.55,-16.15,1624.61
494,-0.25,0,0,8.17
495,-493.54,0,-2.5,1295.11
496,-61.05,0,0,423.26
497,-75.76,-1.5,-2.2,401.59
498,-6.75,0,0,15.77
499,-118.75,0,0,728.34
500,0,0,0,16.22
501,-11.94,0,0,127.05
502,-280.29,0,0,1213.86
503,-294.85,0,-4.29,1880.36
504,-72.35,0,0,157.42
505,-5.29,0,0,17.76
506,-48.79,0,0,313.32
507,-167.91,0,-4.99,778.86
508,-108.26,0,0,646.05
509,-10.23,0,0,117.11
510,-524.67,-1.45,-12.42,3390.8
511,-550.31,0,-14.5,2301.57
512,-235.95,-0.4,-1.4,856.19
513,-1211.85,-1.2,-25.2,5595.48
514,-74.36,0,0,765.59
515,-101.28,0,0,400.23
516,-7.87,0,0,126.43
517,-227.88,-0.45,-0.55,1588.19
518,-178.1,-2.5,-7.87,795.91
519,-161.1,-4.35,-6.95,556.45
520,-363.14,-0.45,-4.05,1169.43
521,-41.51,0,0,243.88
522,-0.29,0,0,15.58
523,-93.1,-2.75,-21.98,1485.64
524,-509.42,0,-6,1533.84
525,-71.22,-0.45,-15.62,471.38
526,-256.81,-1.15,-1.85,1536.48
527,-236.36,0,-1,1188.51
528,-3.71,0,0,41.48
529,-176.55,0,0,1057.35
530,-108.86,0,0,910.15
531,-110.67,0,0,450.91
532,-35.99,0,0,346.34
533,-255.85,0,-2.5,1557.83
534,-67,0,0,500.57
535,-186.49,0,-8.18,368.66
536,-287.07,0,-4,957.39
537,-145.15,0,0,929.71
538,-191.76,0,0,1130.29
539,-2.77,0,0,80.42
540,-54.54,0,0,478.87
541,-191.74,0,0,665.09
542,-291.47,0,0,1151.78
543,-147.27,0,-1,1147.62
544,-149.29,-0.25,-0.75,901.56
545,-233.21,-1.6,-3.6,1151.6
546,-396.8,-0.25,-5.25,1757.81
547,-185.29,0,-1,854.2
548,-455.47,0,-3,2067.22
549,-223.94,-0.35,-0.35,1655.7
550,-52.95,0,0,213.08
551,-132.52,0,0,413.76
552,-248.96,0,0,816.96
553,-424.21,0,-1,2853.95
554,-91.37,-0.5,-7,673.84
555,-57.68,0,0,514.49
556,-93.71,-4.35,-13.74,478.18
557,-51.03,0,0,287.4
558,-193.16,0,0,1318.39
559,-122.52,0,0,177.58
560,-433.65,-0.45,-0.55,3421.9
561,-38.07,0,0,215.13
562,-175.82,0,-10.32,1138.38
563,-174.53,0,-14.69,1056.51
564,-44.45,0,0,171.29
565,-31.43,0,0,291.13
566,-155.1,-0.5,-2.59,832.68
567,-87.24,0,0,480.85
568,-263.03,0,0,1634.69
569,-293.81,-1.9,-4.59,4011.78
570,-168.07,0,-2.5,499.33
571,-77.45,0,-3,700.87
572,-166.88,0,0,749.01
573,-252.97,0,-9,1544.95
574,-529.1,-34.86,-138.16,2042.92
575,-647.17,-0.45,-3.05,5074.08
576,-272.79,0,-1,2137.42
577,-235.96,-2.2,-19.28,2157.98
578,-107.62,0,0,881.22
579,-73.36,0,-2.5,141.84
580,-71.31,-0.45,-0.55,548.63
581,-205.51,0,0,894.91
582,-404.47,0,-2.5,2611.78
583,-196.99,0,0,1522.66
584,-91.33,0,-2,811.23
585,-180.93,-1.35,-1.65,449.7
586,-230.72,-0.7,-1.3,1793.49
587,-16.81,0,-1,72.15
588,-446.32,-6.4,-23.45,3715.09
589,-2.1,0,0,27.59
590,-371.57,0,0,2259.2
591,-966.78,-0.9,-18.52,5933.33
592,-76.54,-0.35,-1.35,319.68
593,-7.48,0,0,78.91
594,-369.43,0,-5,1380.5
595,-234.86,0,-2,945.09
596,-130.63,0,0,1247.24
597,-307.03,0,-0.99,1647.12
598,-188.04,-0.95,-3.05,1124.14
599,-35.75,0,0,323.36
600,-271.15,-10.15,-39.23,1211.44
601,-292.25,0,0,1849.2
602,-16.07,0,0,71.24
603,-570.59,0,-9,2830.6
604,-144.77,0,0,1071.03
605,-246.24,-1.6,-27.24,1406.07
606,-171.01,0,0,1332.07
607,-1059.27,-1.8,-16.28,2937.04
608,-254.1,-0.25,-8.5,1719.48
609,-81.48,0,-9.38,450.55
610,-77.08,-2,-2,250.22
611,-138.56,0,-1,432.99
612,-228.38,0,-1.25,1010.08
613,-65.81,0,0,178.77
614,-151.63,-0.7,-2.3,683.72
615,-6.11,0,0,95.18
616,-163.42,0,0,426.77
617,-62,0,-1,370.83
618,-277.81,-1,-8.79,2017.54
619,-6.68,0,0,22.75
620,-19.04,-2.89,-6.9,187.77
621,-88.66,-0.4,-0.4,770.28
622,-131.95,0,-4.75,770.62
623,-683.14,0,-5,2712.13
624,-627.77,-0.3,-2.8,2511.82
625,-102.37,-6.6,-11.28,596.58
626,-85.03,0,0,357.31
627,-79.01,-0.4,-0.6,565.22
628,-55.22,0,0,436.29
629,-61.1,0,-1,301.46
630,-1132.25,-11.9,-27.8,3221.3
631,-769.95,0,-29.99,4004.18
632,-302.36,-8.05,-15.45,1350.09
633,-518.92,-5.24,-105.18,2593.08
634,-151.61,0,0,915.09
635,-32.64,0,0,184.03
636,-734.66,0,-2,2327.29
637,-190.82,0,0,785.9
638,-365.35,-1.8,-2.2,2857.3
639,-16.43,0,0,95.8
640,-443.78,0,-4.5,1791.64
641,-1009.52,-1.5,-23.5,5815.16
642,-138.62,0,0,1280.01
643,-171.13,-0.5,-6.57,447.98
644,-255.34,-1.75,-5.24,1833.68
645,-49.6,0,0,234.81
646,-254.34,0,-4.5,916.82
647,-400.45,-2.15,-9.78,2208.89
648,-25.86,0,0,281.78
649,-167.32,-2.65,-13.15,901.6
650,-274.77,0,-0.7,979.03
651,-71.98,0,-1.76,230.9
652,-110.76,-0.8,-0.9,838.66
653,-813.5,0,-2.5,5667.68
654,-306.04,-0.25,-4.75,1107.31
655,-117.32,-0.95,-8.03,632.42
656,-321.21,0,-3.5,1564.42
657,-1.09,0,0,44.73
658,-119.2,0,0,459.24
659,-30.51,0,0,258.72
660,-516.65,-1.5,-8.93,2788.53
661,-372.61,0,-1.99,3366.54
662,-74.73,0,-2,477.17
663,-254.37,-0.5,-27.48,1020.98
664,-148.89,-1.75,-4.25,501.31
665,-59.29,0,-1,405.75
666,-54.46,0,0,236.01
667,-46.02,0,0,103.14
668,-130.92,0,-2.5,416.56
669,-464.39,-0.75,-4.25,4716.32
670,-329.53,-2.35,-26.85,1896.54
671,-422.79,-2.95,-8.05,2707.95
672,-310.58,0,-3,1167.68
673,-9.45,0,0,71.35
674,-244.58,-0.25,-0.25,1404.77
675,-221.21,-4.2,-4.7,1412.02
676,-496.72,0,0,3000.65
677,-151.6,0,0,1005.1
678,-73.58,0,0,235.44
679,-293.66,-4.21,-35.58,2730.46
680,-267.63,0,-13.99,1194.96
681,-127.46,-0.5,-0.5,1282.22
682,-421.71,-0.75,-13.84,1840.74
683,-25.19,0,0,146.78
684,-148.08,0,0,937.3
685,-295.23,0,-1,1867.31
686,-43.25,0,-2.5,186.07
687,-279.85,-3.9,-6,1193.26
688,-101.55,0,-1,739.47
689,-2.13,0,0,16.33
690,-231.38,-0.95,-6.55,2160.27
691,-220.69,0,0,1356.95
692,-142.42,-0.25,-3.25,1163.16
693,-471.11,-0.9,-2.1,2831.61
694,-140.97,0,0,1367.35
695,-280.58,0,-1,1985.57
696,-775.32,-1.4,-5.09,4672.22
697,-172.82,0,0,1407.8
698,-94.54,-1,-1,687.39
699,-458.93,-0.45,-4.05,4068.68
700,-361.45,-0.25,-2.94,1505.01
701,-87.06,0,0,647.58
702,-526.98,-1.25,-7.54,2518.97
703,-425.34,0,-0.25,3523.88
704,-1.97,0,0,10
705,-119.1,0,0,577.59
706,-193.26,0,0,1057.5
707,-821.58,-0.7,-6.8,7157.83
708,-181.44,0,0,1122.82
709,-697.64,-0.45,-5.05,2939.36
710,-333.93,-2.35,-5.73,1303.22
711,-2.47,0,0,12.98
712,-849.15,-4.05,-19.88,5292.47
713,-15.93,0,-2.5,67.02
714,-538.11,-1.05,-13.05,1529.41
715,-444.33,-1,-16.48,1236
716,-246.67,-4.45,-16.39,620.91
717,-17.78,0,0,261.96
718,-1897.11,-38.55,-182.26,8488.33
719,-86.42,-0.5,-1.77,374.59
720,-36.74,0,0,687.05
721,-19.27,0,0,224.51
722,-406.33,-4.2,-29.85,2078.15
723,-12.12,0,0,50.07
724,-37.01,0,0,394.51
725,-574.7,0,0,1671.73
726,-73.08,0,-1,426.35
727,-458.86,0,-2.5,2237.8
728,-931.71,-0.7,-4.74,6862.14
729,-154.03,0,0,771.92
730,-68.45,0,0,436.62
731,-298.45,0,-4,1291.11
732,-533.16,-1.8,-7.7,1661.71
733,-137.21,0,-8.69,805.14
734,-71.2,0,0,457.72
735,-30.34,0,-6,423.52
736,-34.12,0,0,400.42
737,-78.88,0,0,647.47
738,-362.87,0,-1,1644.56
739,-38.41,0,-1,160.06
740,-421.79,-0.75,-1.25,2360.79
741,-225.89,0,0,982.88
742,-293.77,-5.3,-34.6,1946.47
743,-116.05,0,0,672.67
744,-304.42,-4.35,-11.55,1226.35
745,-320.46,-0.25,-1.75,2695.29
746,-22.33,0,0,262.79
747,-100.7,0,-1.59,483.11
748,-199.79,0,-3.79,843.8
749,-177.18,0,0,606.21
750,-21.23,0,0,108.92
751,-59.2,0,0,292.48
752,-366.13,0,0,2259.01
753,-127.18,0,-2.99,716.75
754,-39.76,-0.4,-0.4,748.84
755,-253.68,-0.5,-2.5,5217.79
756,-93.98,0,-1,370.72
757,-92.4,-1.3,-3.7,692.46
758,-29.42,0,0,184.9
759,-37.13,0,0,641.14
760,-114.21,0,0,1011.59
761,-481.3,-1.9,-20.69,2663.05
762,-326.27,0,0,2723.53
763,-320.7,-0.7,-3.8,1723.09
764,-163.83,-3.4,-9.1,537.18
765,-142.77,-1.05,-3.65,867.19
766,-490.15,-2.75,-12.94,2834.54
767,-26.76,0,0,110.32
768,-473.84,-0.25,-7.3,2052.83
769,-164.06,0,0,759.32
770,-193.89,-5.2,-14.3,528.97
771,-553.41,0,-2,2181.59
772,-9.05,0,0,93.83
773,-16.07,0,0,150.03
774,-97.97,0,0,425.11
775,-171.96,0,0,953.03
776,-543.1,0,-2.5,2100.51
777,-32.5,0,0,90.64
