"subject" "tmt" "time" "response" "sub" "timez" "subn" "tmtn"
10 "RI" 1 74 "RI/10" 0 22 2
10 "RI" 2 75 "RI/10" 1 22 2
10 "RI" 3 78 "RI/10" 2 22 2
10 "RI" 4 78 "RI/10" 3 22 2
10 "RI" 5 79 "RI/10" 4 22 2
10 "RI" 6 78 "RI/10" 5 22 2
10 "RI" 7 78 "RI/10" 6 22 2
11 "RI" 1 76 "RI/11" 0 23 2
11 "RI" 2 77 "RI/11" 1 23 2
11 "RI" 3 77 "RI/11" 2 23 2
11 "RI" 4 77 "RI/11" 3 23 2
11 "RI" 5 77 "RI/11" 4 23 2
11 "RI" 6 76 "RI/11" 5 23 2
11 "RI" 7 76 "RI/11" 6 23 2
12 "RI" 1 84 "RI/12" 0 24 2
12 "RI" 2 84 "RI/12" 1 24 2
12 "RI" 3 86 "RI/12" 2 24 2
12 "RI" 4 85 "RI/12" 3 24 2
12 "RI" 5 86 "RI/12" 4 24 2
12 "RI" 6 86 "RI/12" 5 24 2
12 "RI" 7 86 "RI/12" 6 24 2
13 "RI" 1 79 "RI/13" 0 25 2
13 "RI" 2 80 "RI/13" 1 25 2
13 "RI" 3 79 "RI/13" 2 25 2
13 "RI" 4 80 "RI/13" 3 25 2
13 "RI" 5 80 "RI/13" 4 25 2
13 "RI" 6 82 "RI/13" 5 25 2
13 "RI" 7 82 "RI/13" 6 25 2
14 "RI" 1 78 "RI/14" 0 26 2
14 "RI" 2 78 "RI/14" 1 26 2
14 "RI" 3 77 "RI/14" 2 26 2
14 "RI" 4 76 "RI/14" 3 26 2
14 "RI" 5 75 "RI/14" 4 26 2
14 "RI" 6 75 "RI/14" 5 26 2
14 "RI" 7 76 "RI/14" 6 26 2
15 "RI" 1 78 "RI/15" 0 27 2
15 "RI" 2 80 "RI/15" 1 27 2
15 "RI" 3 77 "RI/15" 2 27 2
15 "RI" 4 77 "RI/15" 3 27 2
15 "RI" 5 75 "RI/15" 4 27 2
15 "RI" 6 75 "RI/15" 5 27 2
15 "RI" 7 75 "RI/15" 6 27 2
16 "RI" 1 84 "RI/16" 0 28 2
16 "RI" 2 85 "RI/16" 1 28 2
16 "RI" 3 85 "RI/16" 2 28 2
16 "RI" 4 85 "RI/16" 3 28 2
16 "RI" 5 85 "RI/16" 4 28 2
16 "RI" 6 83 "RI/16" 5 28 2
16 "RI" 7 82 "RI/16" 6 28 2
2 "RI" 1 83 "RI/2" 0 29 2
2 "RI" 2 83 "RI/2" 1 29 2
2 "RI" 3 85 "RI/2" 2 29 2
2 "RI" 4 85 "RI/2" 3 29 2
2 "RI" 5 86 "RI/2" 4 29 2
2 "RI" 6 87 "RI/2" 5 29 2
2 "RI" 7 87 "RI/2" 6 29 2
3 "RI" 1 81 "RI/3" 0 30 2
3 "RI" 2 83 "RI/3" 1 30 2
3 "RI" 3 82 "RI/3" 2 30 2
3 "RI" 4 82 "RI/3" 3 30 2
3 "RI" 5 83 "RI/3" 4 30 2
3 "RI" 6 83 "RI/3" 5 30 2
3 "RI" 7 82 "RI/3" 6 30 2
4 "RI" 1 81 "RI/4" 0 31 2
4 "RI" 2 81 "RI/4" 1 31 2
4 "RI" 3 81 "RI/4" 2 31 2
4 "RI" 4 82 "RI/4" 3 31 2
4 "RI" 5 82 "RI/4" 4 31 2
4 "RI" 6 83 "RI/4" 5 31 2
4 "RI" 7 81 "RI/4" 6 31 2
5 "RI" 1 80 "RI/5" 0 32 2
5 "RI" 2 81 "RI/5" 1 32 2
5 "RI" 3 82 "RI/5" 2 32 2
5 "RI" 4 82 "RI/5" 3 32 2
5 "RI" 5 82 "RI/5" 4 32 2
5 "RI" 6 84 "RI/5" 5 32 2
5 "RI" 7 86 "RI/5" 6 32 2
6 "RI" 1 76 "RI/6" 0 33 2
6 "RI" 2 76 "RI/6" 1 33 2
6 "RI" 3 76 "RI/6" 2 33 2
6 "RI" 4 76 "RI/6" 3 33 2
6 "RI" 5 76 "RI/6" 4 33 2
6 "RI" 6 76 "RI/6" 5 33 2
6 "RI" 7 75 "RI/6" 6 33 2
7 "RI" 1 81 "RI/7" 0 34 2
7 "RI" 2 84 "RI/7" 1 34 2
7 "RI" 3 83 "RI/7" 2 34 2
7 "RI" 4 83 "RI/7" 3 34 2
7 "RI" 5 85 "RI/7" 4 34 2
7 "RI" 6 85 "RI/7" 5 34 2
7 "RI" 7 85 "RI/7" 6 34 2
8 "RI" 1 77 "RI/8" 0 35 2
8 "RI" 2 78 "RI/8" 1 35 2
8 "RI" 3 79 "RI/8" 2 35 2
8 "RI" 4 79 "RI/8" 3 35 2
8 "RI" 5 81 "RI/8" 4 35 2
8 "RI" 6 82 "RI/8" 5 35 2
8 "RI" 7 81 "RI/8" 6 35 2
9 "RI" 1 84 "RI/9" 0 36 2
9 "RI" 2 85 "RI/9" 1 36 2
9 "RI" 3 87 "RI/9" 2 36 2
9 "RI" 4 89 "RI/9" 3 36 2
9 "RI" 5 88 "RI/9" 4 36 2
9 "RI" 6 85 "RI/9" 5 36 2
9 "RI" 7 86 "RI/9" 6 36 2
1 "WI" 1 84 "WI/1" 0 37 3
1 "WI" 2 85 "WI/1" 1 37 3
1 "WI" 3 84 "WI/1" 2 37 3
1 "WI" 4 83 "WI/1" 3 37 3
1 "WI" 5 83 "WI/1" 4 37 3
1 "WI" 6 83 "WI/1" 5 37 3
1 "WI" 7 84 "WI/1" 6 37 3
10 "WI" 1 82 "WI/10" 0 38 3
10 "WI" 2 82 "WI/10" 1 38 3
10 "WI" 3 82 "WI/10" 2 38 3
10 "WI" 4 84 "WI/10" 3 38 3
10 "WI" 5 86 "WI/10" 4 38 3
10 "WI" 6 85 "WI/10" 5 38 3
10 "WI" 7 87 "WI/10" 6 38 3
11 "WI" 1 79 "WI/11" 0 39 3
11 "WI" 2 79 "WI/11" 1 39 3
11 "WI" 3 80 "WI/11" 2 39 3
11 "WI" 4 81 "WI/11" 3 39 3
11 "WI" 5 81 "WI/11" 4 39 3
11 "WI" 6 81 "WI/11" 5 39 3
11 "WI" 7 81 "WI/11" 6 39 3
12 "WI" 1 79 "WI/12" 0 40 3
12 "WI" 2 80 "WI/12" 1 40 3
12 "WI" 3 81 "WI/12" 2 40 3
12 "WI" 4 82 "WI/12" 3 40 3
12 "WI" 5 83 "WI/12" 4 40 3
12 "WI" 6 82 "WI/12" 5 40 3
12 "WI" 7 82 "WI/12" 6 40 3
13 "WI" 1 83 "WI/13" 0 41 3
13 "WI" 2 84 "WI/13" 1 41 3
13 "WI" 3 84 "WI/13" 2 41 3
13 "WI" 4 84 "WI/13" 3 41 3
13 "WI" 5 84 "WI/13" 4 41 3
13 "WI" 6 83 "WI/13" 5 41 3
13 "WI" 7 83 "WI/13" 6 41 3
14 "WI" 1 81 "WI/14" 0 42 3
14 "WI" 2 81 "WI/14" 1 42 3
14 "WI" 3 82 "WI/14" 2 42 3
14 "WI" 4 84 "WI/14" 3 42 3
14 "WI" 5 83 "WI/14" 4 42 3
14 "WI" 6 82 "WI/14" 5 42 3
14 "WI" 7 85 "WI/14" 6 42 3
15 "WI" 1 78 "WI/15" 0 43 3
15 "WI" 2 78 "WI/15" 1 43 3
15 "WI" 3 79 "WI/15" 2 43 3
15 "WI" 4 79 "WI/15" 3 43 3
15 "WI" 5 78 "WI/15" 4 43 3
15 "WI" 6 79 "WI/15" 5 43 3
15 "WI" 7 79 "WI/15" 6 43 3
16 "WI" 1 83 "WI/16" 0 44 3
16 "WI" 2 82 "WI/16" 1 44 3
16 "WI" 3 82 "WI/16" 2 44 3
16 "WI" 4 84 "WI/16" 3 44 3
16 "WI" 5 84 "WI/16" 4 44 3
16 "WI" 6 83 "WI/16" 5 44 3
16 "WI" 7 84 "WI/16" 6 44 3
17 "WI" 1 80 "WI/17" 0 45 3
17 "WI" 2 79 "WI/17" 1 45 3
17 "WI" 3 79 "WI/17" 2 45 3
17 "WI" 4 81 "WI/17" 3 45 3
17 "WI" 5 80 "WI/17" 4 45 3
17 "WI" 6 80 "WI/17" 5 45 3
17 "WI" 7 80 "WI/17" 6 45 3
18 "WI" 1 80 "WI/18" 0 46 3
18 "WI" 2 82 "WI/18" 1 46 3
18 "WI" 3 82 "WI/18" 2 46 3
18 "WI" 4 82 "WI/18" 3 46 3
18 "WI" 5 81 "WI/18" 4 46 3
18 "WI" 6 81 "WI/18" 5 46 3
18 "WI" 7 81 "WI/18" 6 46 3
19 "WI" 1 85 "WI/19" 0 47 3
19 "WI" 2 86 "WI/19" 1 47 3
19 "WI" 3 87 "WI/19" 2 47 3
19 "WI" 4 86 "WI/19" 3 47 3
19 "WI" 5 86 "WI/19" 4 47 3
19 "WI" 6 86 "WI/19" 5 47 3
19 "WI" 7 86 "WI/19" 6 47 3
2 "WI" 1 74 "WI/2" 0 48 3
2 "WI" 2 75 "WI/2" 1 48 3
2 "WI" 3 75 "WI/2" 2 48 3
2 "WI" 4 76 "WI/2" 3 48 3
2 "WI" 5 75 "WI/2" 4 48 3
2 "WI" 6 76 "WI/2" 5 48 3
2 "WI" 7 76 "WI/2" 6 48 3
20 "WI" 1 77 "WI/20" 0 49 3
20 "WI" 2 78 "WI/20" 1 49 3
20 "WI" 3 80 "WI/20" 2 49 3
20 "WI" 4 81 "WI/20" 3 49 3
20 "WI" 5 82 "WI/20" 4 49 3
20 "WI" 6 82 "WI/20" 5 49 3
20 "WI" 7 82 "WI/20" 6 49 3
21 "WI" 1 80 "WI/21" 0 50 3
21 "WI" 2 81 "WI/21" 1 50 3
21 "WI" 3 80 "WI/21" 2 50 3
21 "WI" 4 81 "WI/21" 3 50 3
21 "WI" 5 81 "WI/21" 4 50 3
21 "WI" 6 82 "WI/21" 5 50 3
21 "WI" 7 83 "WI/21" 6 50 3
3 "WI" 1 83 "WI/3" 0 51 3
3 "WI" 2 84 "WI/3" 1 51 3
3 "WI" 3 82 "WI/3" 2 51 3
3 "WI" 4 81 "WI/3" 3 51 3
3 "WI" 5 83 "WI/3" 4 51 3
3 "WI" 6 83 "WI/3" 5 51 3
3 "WI" 7 82 "WI/3" 6 51 3
4 "WI" 1 86 "WI/4" 0 52 3
4 "WI" 2 87 "WI/4" 1 52 3
4 "WI" 3 87 "WI/4" 2 52 3
4 "WI" 4 87 "WI/4" 3 52 3
4 "WI" 5 87 "WI/4" 4 52 3
4 "WI" 6 87 "WI/4" 5 52 3
4 "WI" 7 86 "WI/4" 6 52 3
5 "WI" 1 82 "WI/5" 0 53 3
5 "WI" 2 83 "WI/5" 1 53 3
5 "WI" 3 84 "WI/5" 2 53 3
5 "WI" 4 85 "WI/5" 3 53 3
5 "WI" 5 84 "WI/5" 4 53 3
5 "WI" 6 85 "WI/5" 5 53 3
5 "WI" 7 86 "WI/5" 6 53 3
6 "WI" 1 79 "WI/6" 0 54 3
6 "WI" 2 80 "WI/6" 1 54 3
6 "WI" 3 79 "WI/6" 2 54 3
6 "WI" 4 79 "WI/6" 3 54 3
6 "WI" 5 80 "WI/6" 4 54 3
6 "WI" 6 79 "WI/6" 5 54 3
6 "WI" 7 80 "WI/6" 6 54 3
7 "WI" 1 79 "WI/7" 0 55 3
7 "WI" 2 79 "WI/7" 1 55 3
7 "WI" 3 79 "WI/7" 2 55 3
7 "WI" 4 81 "WI/7" 3 55 3
7 "WI" 5 81 "WI/7" 4 55 3
7 "WI" 6 83 "WI/7" 5 55 3
7 "WI" 7 83 "WI/7" 6 55 3
8 "WI" 1 87 "WI/8" 0 56 3
8 "WI" 2 89 "WI/8" 1 56 3
8 "WI" 3 91 "WI/8" 2 56 3
8 "WI" 4 90 "WI/8" 3 56 3
8 "WI" 5 91 "WI/8" 4 56 3
8 "WI" 6 92 "WI/8" 5 56 3
8 "WI" 7 92 "WI/8" 6 56 3
9 "WI" 1 81 "WI/9" 0 57 3
9 "WI" 2 81 "WI/9" 1 57 3
9 "WI" 3 81 "WI/9" 2 57 3
9 "WI" 4 82 "WI/9" 3 57 3
9 "WI" 5 82 "WI/9" 4 57 3
9 "WI" 6 83 "WI/9" 5 57 3
9 "WI" 7 83 "WI/9" 6 57 3
