InvoiceNo,StockCode,CHOCOLATE THIS WAY METAL SIGN,Quantity,UnitPrice,CustomerID,Country
536956,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,14210,United Kingdom
536960,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,16477,United Kingdom
536975,22112,CHOCOLATE THIS WAY METAL SIGN,9,4.95,14911,EIRE
536982,22112,CHOCOLATE THIS WAY METAL SIGN,31,12.72,,United Kingdom
536982,22725,CHOCOLATE THIS WAY METAL SIGN,1,8.47,,United Kingdom
537022,85038,CHOCOLATE THIS WAY METAL SIGN,6,2.1,12725,Italy
537022,85036B,CHOCOLATE THIS WAY METAL SIGN,6,4.25,12725,Italy
537022,85035B,CHOCOLATE THIS WAY METAL SIGN,4,4.25,12725,Italy
537022,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,12725,Italy
537023,72741,CHOCOLATE THIS WAY METAL SIGN,2,1.45,16725,United Kingdom
537036,85049G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,15545,United Kingdom
537044,22802,CHOCOLATE THIS WAY METAL SIGN,2,19.95,18055,United Kingdom
537044,22112,CHOCOLATE THIS WAY METAL SIGN,9,4.95,18055,United Kingdom
537045,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,15038,United Kingdom
537045,85152,CHOCOLATE THIS WAY METAL SIGN,3,2.1,15038,United Kingdom
537051,22725,CHOCOLATE THIS WAY METAL SIGN,1,3.75,15708,United Kingdom
537051,22725,CHOCOLATE THIS WAY METAL SIGN,2,3.75,15708,United Kingdom
537054,85038,CHOCOLATE THIS WAY METAL SIGN,3,2.1,16931,United Kingdom
537126,84596G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,18118,United Kingdom
537128,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,12841,United Kingdom
537131,85038,CHOCOLATE THIS WAY METAL SIGN,3,2.1,15716,United Kingdom
537133,22112,CHOCOLATE THIS WAY METAL SIGN,2,4.95,18156,United Kingdom
537135,85049G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,17059,United Kingdom
537135,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17059,United Kingdom
537141,22725,CHOCOLATE THIS WAY METAL SIGN,3,3.75,15570,United Kingdom
537144,85152,CHOCOLATE THIS WAY METAL SIGN,1,2.1,15880,United Kingdom
537144,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,15880,United Kingdom
537144,84596G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,15880,United Kingdom
537159,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,14527,United Kingdom
537192,21106,CHOCOLATE THIS WAY METAL SIGN,2,2.95,16402,United Kingdom
537192,21106,CHOCOLATE THIS WAY METAL SIGN,1,2.95,16402,United Kingdom
537192,21109,CHOCOLATE THIS WAY METAL SIGN,1,6.75,16402,United Kingdom
537193,22112,CHOCOLATE THIS WAY METAL SIGN,4,4.95,15023,United Kingdom
537193,22112,CHOCOLATE THIS WAY METAL SIGN,2,4.95,15023,United Kingdom
537195,85035B,CHOCOLATE THIS WAY METAL SIGN,1,4.25,15311,United Kingdom
537196,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,15426,United Kingdom
537196,21908,CHOCOLATE THIS WAY METAL SIGN,2,2.1,15426,United Kingdom
537196,85152,CHOCOLATE THIS WAY METAL SIGN,1,2.1,15426,United Kingdom
537200,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,15867,United Kingdom
537201,85049G,CHOCOLATE THIS WAY METAL SIGN,12,1.25,12472,Germany
537206,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,15235,United Kingdom
537208,22725,CHOCOLATE THIS WAY METAL SIGN,1,3.75,15889,United Kingdom
537219,85035B,CHOCOLATE THIS WAY METAL SIGN,2,4.25,14081,United Kingdom
537223,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,13579,United Kingdom
537224,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,13174,United Kingdom
537231,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,13652,United Kingdom
537231,21109,CHOCOLATE THIS WAY METAL SIGN,2,6.75,13652,United Kingdom
537237,21291,CHOCOLATE THIS WAY METAL SIGN,2,1.66,,United Kingdom
537237,21832,CHOCOLATE THIS WAY METAL SIGN,2,3.36,,United Kingdom
537237,21908,CHOCOLATE THIS WAY METAL SIGN,3,4.21,,United Kingdom
537237,22112,CHOCOLATE THIS WAY METAL SIGN,5,11.02,,United Kingdom
537237,22725,CHOCOLATE THIS WAY METAL SIGN,3,7.62,,United Kingdom
537240,22725,CHOCOLATE THIS WAY METAL SIGN,1,7.62,,United Kingdom
537240,22802,CHOCOLATE THIS WAY METAL SIGN,1,39.96,,United Kingdom
537240,21111,CHOCOLATE THIS WAY METAL SIGN,2,5.91,,United Kingdom
537240,21908,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
537240,22112,CHOCOLATE THIS WAY METAL SIGN,7,11.02,,United Kingdom
537240,72741,CHOCOLATE THIS WAY METAL SIGN,6,2.82,,United Kingdom
537242,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,14748,United Kingdom
537248,21291,CHOCOLATE THIS WAY METAL SIGN,16,0.85,15899,United Kingdom
537248,21289,CHOCOLATE THIS WAY METAL SIGN,16,1.25,15899,United Kingdom
537254,21292,CHOCOLATE THIS WAY METAL SIGN,12,0.85,15898,United Kingdom
537254,22112,CHOCOLATE THIS WAY METAL SIGN,2,4.95,15898,United Kingdom
537258,21291,CHOCOLATE THIS WAY METAL SIGN,32,0.85,17227,United Kingdom
537265,21291,CHOCOLATE THIS WAY METAL SIGN,12,0.85,15919,United Kingdom
537351,84596G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,16898,United Kingdom
537365,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,15078,United Kingdom
537374,21106,CHOCOLATE THIS WAY METAL SIGN,1,2.95,17259,United Kingdom
537381,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,14667,United Kingdom
537381,85038,CHOCOLATE THIS WAY METAL SIGN,6,2.1,14667,United Kingdom
537392,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17068,United Kingdom
537393,22112,CHOCOLATE THIS WAY METAL SIGN,24,4.25,13089,United Kingdom
537395,85152,CHOCOLATE THIS WAY METAL SIGN,2,2.1,15356,United Kingdom
537419,22112,CHOCOLATE THIS WAY METAL SIGN,24,4.25,13495,United Kingdom
537428,85152,CHOCOLATE THIS WAY METAL SIGN,6,2.1,17320,United Kingdom
537434,21109,CHOCOLATE THIS WAY METAL SIGN,1,13.57,,United Kingdom
537434,21111,CHOCOLATE THIS WAY METAL SIGN,1,5.91,,United Kingdom
537434,21291,CHOCOLATE THIS WAY METAL SIGN,1,1.66,,United Kingdom
537434,21832,CHOCOLATE THIS WAY METAL SIGN,4,3.36,,United Kingdom
537434,21908,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
537434,22112,CHOCOLATE THIS WAY METAL SIGN,4,11.02,,United Kingdom
537441,22112,CHOCOLATE THIS WAY METAL SIGN,2,4.95,13564,United Kingdom
537446,72741,CHOCOLATE THIS WAY METAL SIGN,18,1.45,18055,United Kingdom
537457,21908,CHOCOLATE THIS WAY METAL SIGN,48,1.85,17511,United Kingdom
537458,85038,CHOCOLATE THIS WAY METAL SIGN,6,2.1,17091,United Kingdom
537458,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,17091,United Kingdom
537464,22112,CHOCOLATE THIS WAY METAL SIGN,9,4.95,14907,United Kingdom
537465,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,17735,United Kingdom
537469,22112,CHOCOLATE THIS WAY METAL SIGN,24,4.25,17720,United Kingdom
537523,21109,CHOCOLATE THIS WAY METAL SIGN,2,6.75,14176,United Kingdom
537598,22725,CHOCOLATE THIS WAY METAL SIGN,4,3.75,14135,United Kingdom
537598,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,14135,United Kingdom
537606,85038,CHOCOLATE THIS WAY METAL SIGN,6,2.1,15002,United Kingdom
537606,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,15002,United Kingdom
537609,85152,CHOCOLATE THIS WAY METAL SIGN,48,1.69,17675,United Kingdom
537612,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,13769,United Kingdom
537614,22725,CHOCOLATE THIS WAY METAL SIGN,2,3.75,16904,United Kingdom
537624,21709,CHOCOLATE THIS WAY METAL SIGN,1,4.95,12748,United Kingdom
537625,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,15180,United Kingdom
537625,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,15180,United Kingdom
537626,22725,CHOCOLATE THIS WAY METAL SIGN,4,3.75,12347,Iceland
537627,85049G,CHOCOLATE THIS WAY METAL SIGN,12,1.25,14739,United Kingdom
537628,21908,CHOCOLATE THIS WAY METAL SIGN,12,2.1,16293,United Kingdom
537628,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,16293,United Kingdom
537634,22112,CHOCOLATE THIS WAY METAL SIGN,5,4.95,16775,United Kingdom
537638,21832,CHOCOLATE THIS WAY METAL SIGN,1,3.36,,United Kingdom
537638,22725,CHOCOLATE THIS WAY METAL SIGN,1,7.62,,United Kingdom
537638,84596G,CHOCOLATE THIS WAY METAL SIGN,1,1.66,,United Kingdom
537638,85152,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
537640,22112,CHOCOLATE THIS WAY METAL SIGN,8,12.72,,United Kingdom
537640,22725,CHOCOLATE THIS WAY METAL SIGN,1,8.47,,United Kingdom
537641,72741,CHOCOLATE THIS WAY METAL SIGN,3,2.82,,United Kingdom
537641,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
537642,21832,CHOCOLATE THIS WAY METAL SIGN,1,3.36,,United Kingdom
537642,72741,CHOCOLATE THIS WAY METAL SIGN,6,2.82,,United Kingdom
537643,21832,CHOCOLATE THIS WAY METAL SIGN,2,3.36,,United Kingdom
537643,85038,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
537645,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
537646,85152,CHOCOLATE THIS WAY METAL SIGN,3,2.1,17591,United Kingdom
537653,21832,CHOCOLATE THIS WAY METAL SIGN,2,1.65,17897,United Kingdom
537666,22725,CHOCOLATE THIS WAY METAL SIGN,1,7.62,,United Kingdom
537666,85038,CHOCOLATE THIS WAY METAL SIGN,4,4.21,,United Kingdom
537666,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
537666,21832,CHOCOLATE THIS WAY METAL SIGN,1,3.36,,United Kingdom
537666,21908,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
537666,22112,CHOCOLATE THIS WAY METAL SIGN,1,11.02,,United Kingdom
537669,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,16863,United Kingdom
537672,21908,CHOCOLATE THIS WAY METAL SIGN,12,2.1,13050,United Kingdom
537688,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,17406,United Kingdom
537688,21908,CHOCOLATE THIS WAY METAL SIGN,12,2.1,17406,United Kingdom
537690,22112,CHOCOLATE THIS WAY METAL SIGN,12,4.95,13983,United Kingdom
537692,22930,CHOCOLATE THIS WAY METAL SIGN,1,2.55,14796,United Kingdom
537692,22931,CHOCOLATE THIS WAY METAL SIGN,1,2.55,14796,United Kingdom
537692,22932,CHOCOLATE THIS WAY METAL SIGN,1,2.55,14796,United Kingdom
537692,22937,CHOCOLATE THIS WAY METAL SIGN,2,2.55,14796,United Kingdom
537692,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,14796,United Kingdom
537692,21908,CHOCOLATE THIS WAY METAL SIGN,8,2.1,14796,United Kingdom
537694,22931,CHOCOLATE THIS WAY METAL SIGN,2,2.55,14901,United Kingdom
537694,22930,CHOCOLATE THIS WAY METAL SIGN,2,2.55,14901,United Kingdom
537694,22937,CHOCOLATE THIS WAY METAL SIGN,12,2.55,14901,United Kingdom
537694,22936,CHOCOLATE THIS WAY METAL SIGN,3,3.25,14901,United Kingdom
537694,22935,CHOCOLATE THIS WAY METAL SIGN,3,3.25,14901,United Kingdom
537757,21908,CHOCOLATE THIS WAY METAL SIGN,12,2.1,17975,United Kingdom
537757,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,17975,United Kingdom
537762,22112,CHOCOLATE THIS WAY METAL SIGN,9,4.95,16558,United Kingdom
537766,22932,CHOCOLATE THIS WAY METAL SIGN,72,2.1,17677,United Kingdom
537766,22935,CHOCOLATE THIS WAY METAL SIGN,72,2.75,17677,United Kingdom
537766,22931,CHOCOLATE THIS WAY METAL SIGN,72,2.1,17677,United Kingdom
537766,22930,CHOCOLATE THIS WAY METAL SIGN,72,2.1,17677,United Kingdom
537775,21832,CHOCOLATE THIS WAY METAL SIGN,12,1.65,17722,United Kingdom
537813,22112,CHOCOLATE THIS WAY METAL SIGN,24,4.25,18259,United Kingdom
537818,72741,CHOCOLATE THIS WAY METAL SIGN,9,1.45,12766,Portugal
537818,21832,CHOCOLATE THIS WAY METAL SIGN,12,1.65,12766,Portugal
537823,85152,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
537823,21288,CHOCOLATE THIS WAY METAL SIGN,1,5.91,,United Kingdom
537823,21908,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
537823,22112,CHOCOLATE THIS WAY METAL SIGN,3,11.02,,United Kingdom
537823,22725,CHOCOLATE THIS WAY METAL SIGN,1,7.62,,United Kingdom
537826,21291,CHOCOLATE THIS WAY METAL SIGN,16,0.85,15581,United Kingdom
537828,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,15680,United Kingdom
537844,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17999,United Kingdom
537844,21111,CHOCOLATE THIS WAY METAL SIGN,1,2.95,17999,United Kingdom
537851,22937,CHOCOLATE THIS WAY METAL SIGN,12,2.55,13758,United Kingdom
537852,22112,CHOCOLATE THIS WAY METAL SIGN,4,4.95,17340,United Kingdom
537855,85035B,CHOCOLATE THIS WAY METAL SIGN,1,4.25,15996,United Kingdom
537859,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,14030,United Kingdom
537864,22937,CHOCOLATE THIS WAY METAL SIGN,12,2.55,16700,United Kingdom
537882,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,15079,United Kingdom
537887,22112,CHOCOLATE THIS WAY METAL SIGN,24,4.25,18092,United Kingdom
537890,22937,CHOCOLATE THIS WAY METAL SIGN,6,2.55,15358,United Kingdom
537890,22932,CHOCOLATE THIS WAY METAL SIGN,6,2.55,15358,United Kingdom
537890,22931,CHOCOLATE THIS WAY METAL SIGN,6,2.55,15358,United Kingdom
537890,22930,CHOCOLATE THIS WAY METAL SIGN,6,2.55,15358,United Kingdom
537890,22935,CHOCOLATE THIS WAY METAL SIGN,6,3.25,15358,United Kingdom
537890,22936,CHOCOLATE THIS WAY METAL SIGN,6,3.25,15358,United Kingdom
537891,22937,CHOCOLATE THIS WAY METAL SIGN,6,2.55,13319,United Kingdom
537891,22931,CHOCOLATE THIS WAY METAL SIGN,6,2.55,13319,United Kingdom
537891,22930,CHOCOLATE THIS WAY METAL SIGN,6,2.55,13319,United Kingdom
537894,22725,CHOCOLATE THIS WAY METAL SIGN,12,3.75,12621,Germany
537898,21289,CHOCOLATE THIS WAY METAL SIGN,3,1.25,17377,United Kingdom
C537998,22725,CHOCOLATE THIS WAY METAL SIGN,-4,3.75,17411,United Kingdom
538002,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,14932,Channel Islands
538009,22112,CHOCOLATE THIS WAY METAL SIGN,6,4.95,14911,EIRE
538012,22112,CHOCOLATE THIS WAY METAL SIGN,2,4.95,14527,United Kingdom
538014,72741,CHOCOLATE THIS WAY METAL SIGN,18,1.45,14440,United Kingdom
538040,21908,CHOCOLATE THIS WAY METAL SIGN,2,2.1,16520,United Kingdom
538040,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,16520,United Kingdom
538056,21291,CHOCOLATE THIS WAY METAL SIGN,16,0.85,17198,United Kingdom
538056,22930,CHOCOLATE THIS WAY METAL SIGN,4,2.55,17198,United Kingdom
538057,22725,CHOCOLATE THIS WAY METAL SIGN,8,3.75,13102,United Kingdom
538064,85038,CHOCOLATE THIS WAY METAL SIGN,2,2.1,15271,United Kingdom
538071,21106,CHOCOLATE THIS WAY METAL SIGN,1,5.91,,United Kingdom
538071,21111,CHOCOLATE THIS WAY METAL SIGN,2,5.91,,United Kingdom
538071,21908,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538071,22112,CHOCOLATE THIS WAY METAL SIGN,2,11.02,,United Kingdom
538071,84596G,CHOCOLATE THIS WAY METAL SIGN,1,1.66,,United Kingdom
538071,85035B,CHOCOLATE THIS WAY METAL SIGN,1,8.47,,United Kingdom
538071,85038,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538071,85049G,CHOCOLATE THIS WAY METAL SIGN,1,2.51,,United Kingdom
538071,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538077,85152,CHOCOLATE THIS WAY METAL SIGN,12,2.1,14667,United Kingdom
538086,21908,CHOCOLATE THIS WAY METAL SIGN,1,2.1,12872,United Kingdom
538086,85152,CHOCOLATE THIS WAY METAL SIGN,4,2.1,12872,United Kingdom
538096,21832,CHOCOLATE THIS WAY METAL SIGN,1,1.65,,United Kingdom
538108,72741,CHOCOLATE THIS WAY METAL SIGN,18,1.45,17456,United Kingdom
538116,22112,CHOCOLATE THIS WAY METAL SIGN,12,4.95,13327,United Kingdom
538148,85152,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
538149,21832,CHOCOLATE THIS WAY METAL SIGN,1,3.36,,United Kingdom
538149,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538153,21832,CHOCOLATE THIS WAY METAL SIGN,3,3.36,,United Kingdom
538153,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538155,85152,CHOCOLATE THIS WAY METAL SIGN,1,2.1,16907,United Kingdom
538155,21908,CHOCOLATE THIS WAY METAL SIGN,1,2.1,16907,United Kingdom
538166,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,17965,United Kingdom
538171,21908,CHOCOLATE THIS WAY METAL SIGN,2,2.1,17530,United Kingdom
538171,85152,CHOCOLATE THIS WAY METAL SIGN,3,2.1,17530,United Kingdom
538174,22937,CHOCOLATE THIS WAY METAL SIGN,12,2.55,12471,Germany
538177,21109,CHOCOLATE THIS WAY METAL SIGN,1,13.57,,United Kingdom
538177,21832,CHOCOLATE THIS WAY METAL SIGN,1,3.36,,United Kingdom
538177,21908,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538177,22112,CHOCOLATE THIS WAY METAL SIGN,4,11.02,,United Kingdom
538177,85152,CHOCOLATE THIS WAY METAL SIGN,1,4.21,,United Kingdom
538177,22112,CHOCOLATE THIS WAY METAL SIGN,22,4.95,,United Kingdom
538197,22725,CHOCOLATE THIS WAY METAL SIGN,1,3.75,14419,United Kingdom
538197,22725,CHOCOLATE THIS WAY METAL SIGN,2,3.75,14419,United Kingdom
538197,22112,CHOCOLATE THIS WAY METAL SIGN,1,4.95,14419,United Kingdom
538198,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,17827,United Kingdom
538201,85049G,CHOCOLATE THIS WAY METAL SIGN,1,1.25,15723,United Kingdom
538205,85035B,CHOCOLATE THIS WAY METAL SIGN,1,4.25,12748,United Kingdom
538205,85035B,CHOCOLATE THIS WAY METAL SIGN,1,4.25,12748,United Kingdom
538209,85035B,CHOCOLATE THIS WAY METAL SIGN,2,4.25,12748,United Kingdom
538248,22931,CHOCOLATE THIS WAY METAL SIGN,1,2.55,18116,United Kingdom
538248,22930,CHOCOLATE THIS WAY METAL SIGN,1,2.55,18116,United Kingdom
538260,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,18178,United Kingdom
538313,22725,CHOCOLATE THIS WAY METAL SIGN,1,3.75,15514,United Kingdom
538313,22725,CHOCOLATE THIS WAY METAL SIGN,1,3.75,15514,United Kingdom
538313,22725,CHOCOLATE THIS WAY METAL SIGN,1,3.75,15514,United Kingdom
538313,22725,CHOCOLATE THIS WAY METAL SIGN,3,3.75,15514,United Kingdom
538327,22725,CHOCOLATE THIS WAY METAL SIGN,6,3.75,15514,United Kingdom
C538341,22725,CHOCOLATE THIS WAY METAL SIGN,-1,3.75,15514,United Kingdom
C538341,22725,CHOCOLATE THIS WAY METAL SIGN,-1,3.75,15514,United Kingdom
C538341,22725,CHOCOLATE THIS WAY METAL SIGN,-3,3.75,15514,United Kingdom
C538341,22725,CHOCOLATE THIS WAY METAL SIGN,-1,3.75,15514,United Kingdom
538343,21908,CHOCOLATE THIS WAY METAL SIGN,12,2.1,13448,United Kingdom
538346,21908,CHOCOLATE THIS WAY METAL SIGN,24,2.1,17865,United Kingdom
538346,22112,CHOCOLATE THIS WAY METAL SIGN,3,4.95,17865,United Kingdom
538349,21288,CHOCOLATE THIS WAY METAL SIGN,1,5.91,,United Kingdom
538349,21832,CHOCOLATE THIS WAY METAL SIGN,1,3.36,,United Kingdom
538349,21908,CHOCOLATE THIS WAY METAL SIGN,2,4.21,,United Kingdom
538349,22112,CHOCOLATE THIS WAY METAL SIGN,3,11.02,,United Kingdom
